PIRATE	PIRATEID	YEAR	PICK	GUESSID	GUESS	GUESSN
4	101	2018	1	1	2	0
4	101	2018	2	2	2	0
4	101	2018	3	3	2	0
4	101	2018	4	4	1	1
4	101	2018	5	5	2	0
4	101	2018	6	6	1	1
4	101	2018	7	7	2	0
4	101	2018	8	8	2	0
4	101	2018	9	9	1	1
4	101	2018	10	10	2	0
4	101	2018	11	11	2	0
4	101	2018	12	12	1	1
4	101	2018	13	13	1	1
4	101	2018	14	14	1	1
4	101	2018	15	15	1	1
4	101	2018	16	16	1	1
4	101	2018	17	17	2	0
4	101	2018	18	18	1	1
4	101	2018	19	19	2	0
4	101	2018	20	20	2	0
4	101	2018	21	21	2	0
4	101	2018	22	22	2	0
4	101	2018	23	23	2	0
4	101	2018	24	24	2	0
4	101	2018	25	25	2	0
4	101	2018	26	26	1	1
4	101	2018	27	27	2	0
4	101	2018	28	28	2	0
4	101	2018	29	29	2	0
4	101	2018	30	30	2	0
4	101	2018	31	31	2	0
4	101	2018	32	32	2	0
6	102	2018	1	1	2	0
6	102	2018	2	2	2	0
6	102	2018	3	3	2	0
6	102	2018	4	4	1	1
6	102	2018	5	5	1	1
6	102	2018	6	6	2	0
6	102	2018	7	7	2	0
6	102	2018	8	8	2	0
6	102	2018	9	9	1	1
6	102	2018	10	10	2	0
6	102	2018	11	11	1	1
6	102	2018	12	12	1	1
6	102	2018	13	13	2	0
6	102	2018	14	14	2	0
6	102	2018	15	15	1	1
6	102	2018	16	16	2	0
6	102	2018	17	17	1	1
6	102	2018	18	18	1	1
6	102	2018	19	19	2	0
6	102	2018	20	20	1	1
6	102	2018	21	21	1	1
6	102	2018	22	22	2	0
6	102	2018	23	23	1	1
6	102	2018	24	24	1	1
6	102	2018	25	25	2	0
6	102	2018	26	26	1	1
6	102	2018	27	27	2	0
6	102	2018	28	28	2	0
6	102	2018	29	29	2	0
6	102	2018	30	30	2	0
6	102	2018	31	31	2	0
6	102	2018	32	32	2	0
5	103	2018	1	1	2	0
5	103	2018	2	2	2	0
5	103	2018	3	3	1	1
5	103	2018	4	4	1	1
5	103	2018	5	5	2	0
5	103	2018	6	6	2	0
5	103	2018	7	7	2	0
5	103	2018	8	8	1	1
5	103	2018	9	9	1	1
5	103	2018	10	10	2	0
5	103	2018	11	11	1	1
5	103	2018	12	12	2	0
5	103	2018	13	13	1	1
5	103	2018	14	14	2	0
5	103	2018	15	15	1	1
5	103	2018	16	16	1	1
5	103	2018	17	17	1	1
5	103	2018	18	18	2	0
5	103	2018	19	19	2	0
5	103	2018	20	20	1	1
5	103	2018	21	21	2	0
5	103	2018	22	22	1	1
5	103	2018	23	23	1	1
5	103	2018	24	24	2	0
5	103	2018	25	25	2	0
5	103	2018	26	26	2	0
5	103	2018	27	27	1	1
5	103	2018	28	28	2	0
5	103	2018	29	29	2	0
5	103	2018	30	30	2	0
5	103	2018	31	31	2	0
5	103	2018	32	32	2	0
8	105	2018	1	1	2	0
8	105	2018	2	2	2	0
8	105	2018	3	3	2	0
8	105	2018	4	4	1	1
8	105	2018	5	5	2	0
8	105	2018	6	6	2	0
8	105	2018	7	7	2	0
8	105	2018	8	8	2	0
8	105	2018	9	9	1	1
8	105	2018	10	10	2	0
8	105	2018	11	11	1	1
8	105	2018	12	12	1	1
8	105	2018	13	13	2	0
8	105	2018	14	14	2	0
8	105	2018	15	15	2	0
8	105	2018	16	16	2	0
8	105	2018	17	17	1	1
8	105	2018	18	18	1	1
8	105	2018	19	19	2	0
8	105	2018	20	20	1	1
8	105	2018	21	21	2	0
8	105	2018	22	22	2	0
8	105	2018	23	23	1	1
8	105	2018	24	24	1	1
8	105	2018	25	25	2	0
8	105	2018	26	26	1	1
8	105	2018	27	27	1	1
8	105	2018	28	28	2	0
8	105	2018	29	29	1	1
8	105	2018	30	30	1	1
8	105	2018	31	31	2	0
8	105	2018	32	32	2	0
7	106	2018	1	1	2	0
7	106	2018	2	2	1	1
7	106	2018	3	3	2	0
7	106	2018	4	4	1	1
7	106	2018	5	5	2	0
7	106	2018	6	6	2	0
7	106	2018	7	7	2	0
7	106	2018	8	8	1	1
7	106	2018	9	9	2	0
7	106	2018	10	10	2	0
7	106	2018	11	11	1	1
7	106	2018	12	12	1	1
7	106	2018	13	13	1	1
7	106	2018	14	14	2	0
7	106	2018	15	15	1	1
7	106	2018	16	16	1	1
7	106	2018	17	17	2	0
7	106	2018	18	18	1	1
7	106	2018	19	19	2	0
7	106	2018	20	20	1	1
7	106	2018	21	21	2	0
7	106	2018	22	22	2	0
7	106	2018	23	23	2	0
7	106	2018	24	24	2	0
7	106	2018	25	25	2	0
7	106	2018	26	26	2	0
7	106	2018	27	27	1	1
7	106	2018	28	28	1	1
7	106	2018	29	29	2	0
7	106	2018	30	30	1	1
7	106	2018	31	31	1	1
7	106	2018	32	32	2	0
10	108	2018	1	1	2	0
10	108	2018	2	2	2	0
10	108	2018	3	3	2	0
10	108	2018	4	4	1	1
10	108	2018	5	5	2	0
10	108	2018	6	6	2	0
10	108	2018	7	7	2	0
10	108	2018	8	8	1	1
10	108	2018	9	9	1	1
10	108	2018	10	10	2	0
10	108	2018	11	11	1	1
10	108	2018	12	12	1	1
10	108	2018	13	13	1	1
10	108	2018	14	14	1	1
10	108	2018	15	15	1	1
10	108	2018	16	16	2	0
10	108	2018	17	17	1	1
10	108	2018	18	18	1	1
10	108	2018	19	19	1	1
10	108	2018	20	20	1	1
10	108	2018	21	21	1	1
10	108	2018	22	22	2	0
10	108	2018	23	23	1	1
10	108	2018	24	24	2	0
10	108	2018	25	25	2	0
10	108	2018	26	26	1	1
10	108	2018	27	27	1	1
10	108	2018	28	28	2	0
10	108	2018	29	29	2	0
10	108	2018	30	30	2	0
10	108	2018	31	31	2	0
10	108	2018	32	32	2	0
2	109	2018	1	1	2	0
2	109	2018	2	2	2	0
2	109	2018	3	3	2	0
2	109	2018	4	4	1	1
2	109	2018	5	5	2	0
2	109	2018	6	6	2	0
2	109	2018	7	7	2	0
2	109	2018	8	8	1	1
2	109	2018	9	9	1	1
2	109	2018	10	10	2	0
2	109	2018	11	11	1	1
2	109	2018	12	12	1	1
2	109	2018	13	13	1	1
2	109	2018	14	14	1	1
2	109	2018	15	15	1	1
2	109	2018	16	16	2	0
2	109	2018	17	17	1	1
2	109	2018	18	18	1	1
2	109	2018	19	19	2	0
2	109	2018	20	20	1	1
2	109	2018	21	21	2	0
2	109	2018	22	22	1	1
2	109	2018	23	23	2	0
2	109	2018	24	24	2	0
2	109	2018	25	25	2	0
2	109	2018	26	26	1	1
2	109	2018	27	27	1	1
2	109	2018	28	28	2	0
2	109	2018	29	29	2	0
2	109	2018	30	30	2	0
2	109	2018	31	31	1	1
2	109	2018	32	32	2	0
9	110	2018	1	1	2	0
9	110	2018	2	2	2	0
9	110	2018	3	3	2	0
9	110	2018	4	4	1	1
9	110	2018	5	5	2	0
9	110	2018	6	6	1	1
9	110	2018	7	7	2	0
9	110	2018	8	8	1	1
9	110	2018	9	9	1	1
9	110	2018	10	10	1	1
9	110	2018	11	11	2	0
9	110	2018	12	12	1	1
9	110	2018	13	13	1	1
9	110	2018	14	14	1	1
9	110	2018	15	15	1	1
9	110	2018	16	16	1	1
9	110	2018	17	17	2	0
9	110	2018	18	18	1	1
9	110	2018	19	19	2	0
9	110	2018	20	20	2	0
9	110	2018	21	21	1	1
9	110	2018	22	22	2	0
9	110	2018	23	23	2	0
9	110	2018	24	24	1	1
9	110	2018	25	25	2	0
9	110	2018	26	26	2	0
9	110	2018	27	27	1	1
9	110	2018	28	28	1	1
9	110	2018	29	29	2	0
9	110	2018	30	30	2	0
9	110	2018	31	31	2	0
9	110	2018	32	32	2	0
1	111	2018	1	1	2	0
1	111	2018	2	2	2	0
1	111	2018	3	3	2	0
1	111	2018	4	4	2	0
1	111	2018	5	5	2	0
1	111	2018	6	6	2	0
1	111	2018	7	7	2	0
1	111	2018	8	8	1	1
1	111	2018	9	9	1	1
1	111	2018	10	10	2	0
1	111	2018	11	11	2	0
1	111	2018	12	12	1	1
1	111	2018	13	13	1	1
1	111	2018	14	14	1	1
1	111	2018	15	15	1	1
1	111	2018	16	16	1	1
1	111	2018	17	17	1	1
1	111	2018	18	18	1	1
1	111	2018	19	19	1	1
1	111	2018	20	20	1	1
1	111	2018	21	21	1	1
1	111	2018	22	22	2	0
1	111	2018	23	23	1	1
1	111	2018	24	24	2	0
1	111	2018	25	25	1	1
1	111	2018	26	26	1	1
1	111	2018	27	27	1	1
1	111	2018	28	28	1	1
1	111	2018	29	29	1	1
1	111	2018	30	30	2	0
1	111	2018	31	31	2	0
1	111	2018	32	32	2	0
3	112	2018	2	1	2	0
3	112	2018	3	2	1	1
3	112	2018	4	3	1	1
3	112	2018	5	4	2	0
3	112	2018	6	5	2	0
3	112	2018	7	6	2	0
3	112	2018	8	7	2	0
3	112	2018	9	8	2	0
3	112	2018	10	9	1	1
3	112	2018	11	10	1	1
3	112	2018	12	11	2	0
3	112	2018	13	12	1	1
3	112	2018	14	13	1	1
3	112	2018	15	14	2	0
3	112	2018	16	15	2	0
3	112	2018	17	16	2	0
3	112	2018	18	17	1	1
3	112	2018	19	18	1	1
3	112	2018	20	19	1	1
3	112	2018	21	20	2	0
3	112	2018	22	21	2	0
3	112	2018	23	22	1	1
3	112	2018	24	23	1	1
3	112	2018	25	24	1	1
3	112	2018	26	25	1	1
3	112	2018	27	26	1	1
3	112	2018	28	27	1	1
3	112	2018	29	28	1	1
3	112	2018	30	29	1	1
3	112	2018	31	30	2	0
3	112	2018	32	31	2	0
